bus,v
p13udm100228,1.0218513044774789
p13udm100229,1.0224267540338625
p13udm100230,1.0210651081921647
p13udm100231,1.0228245452098192
p13udm100236,1.0229595392620547
p13udm100238,1.02407198222256
p13udm100270,1.0213004496541445
p13udm100271,1.0196765574984585
p13udm100272,1.020146177764244
p13udm100274,1.0227622731309527
p13udm100275,1.0223657282025154
p13udm100276,1.0211084109565625
p13udm100277,1.0231084132626185
p13udm100278,1.0215985867479622
p13udm100305,1.023151123639988
p13udm100306,1.0226276413471433
p13udm100333,1.0251890780074522
p13udm100339,1.0254422996451935
p13udm100800,1.0226569593274164
p13udm100801,1.0178373936636753
p13udm100802,1.018297006248282
p13udm100804,1.021622236268983
p13udm100806,1.02165526707811
p13udm100808,1.0213325980836165
p13udm100809,1.0213918507986892
p13udm100811,1.0209349662313851
p13udm100817,1.0187982757880643
p13udm100818,1.0181653847296137
p13udm101048,1.0219153110156445
p13udm101049,1.0224932066652963
p13udm101051,1.0233190762555409
p13udm101056,1.0226278739595527
p13udm101057,1.0225680620029245
p13udm101058,1.0224662860187648
p13udm101059,1.0208115947924172
p13udm101062,1.0233548063286737
p13udm101065,1.023669555257289
p13udm101067,1.021136751968855
p13udm101068,1.0208400108802667
p13udm101070,1.015668299942912
p13udm101072,1.0242704172473627
p13udm101074,1.0239582873789392
p13udm101096,1.0217248046925602
p13udm101098,1.0233769778070743
p13udm101099,1.024335759393739
p13udm101100,1.0245024857877816
p13udm101102,1.0230778300432997
p13udm101103,1.0238521763221433
p13udm101104,1.0225311964165145
p13udm101106,1.0242922713359617
p13udm101108,1.023703364519518
p13udm101122,1.0232589671160879
p13udm101123,1.0248506580677048
p13udm101126,1.0243800333554327
p13udm101129,1.023418377982948
p13udm101130,1.0230632747834987
p13udm101131,1.0243580582997494
p13udm101133,1.0231440036475559
p13udm101134,1.0234936990169263
p13udm101135,1.0241249169113757
p13udm101137,1.0237935991292886
p13udm101138,1.023490003136764
p13udm101139,1.024814280671718
p13udm101140,1.0245952301274024
p13udm101156,1.02168260851948
p13udm101157,1.0227198339740142
p13udm101158,1.0237001873263938
p13udm28273,1.0197904103588762
p13udm28274,1.0201695797613721
p13udm28275,1.020599884221358
p13udm28276,1.0202086713990908
p13udm28278,1.0193196170754182
p13udm28279,1.0176063869373357
p13udm28280,1.0178701305101197
p13udm28282,1.0178221203874163
p13udm28287,1.0196193996426923
p13udm28288,1.0204729357402509
p13udm28290,1.0210935744512266
p13udm28292,1.0198945815442464
p13udm28293,1.0203760591116113
p13udm28294,1.0184712768612916
p13udm28295,1.0189803172159346
p13udm28297,1.021139715788879
p13udm28298,1.020533824853519
p13udm28300,1.0204935389876981
p13udm28301,1.0202715737522032
p13udm28302,1.020889191448396
p13udm28303,1.0210199695571296
p13udm28304,1.019044410354581
p13udm28306,1.0189941252767225
p13udm28307,1.0186622587514793
p13udm28308,1.0195171736576651
p13udm28310,1.0187577540420039
p13udm28313,1.018084260811044
p13udm28316,1.0188207828694693
p13udm28317,1.0185556637585667
p13udm28318,1.0187649309245481
p13udm28319,1.0192137773628
p13udm28320,1.0196742488616053
p13udm28321,1.0195644957027246
p13udm28324,1.0187701209048141
p13udm28327,1.0187732963204061
p13udm28328,1.0183707056627924
p13udm28330,1.0181396991867009
p13udm28332,1.0162320552366573
p13udm28333,1.0169571399912807
p13udm28336,1.017315472504413
p13udm28337,1.018067779494622
p13udm28339,1.017791111134553
p13udm28343,1.0211701383469363
p13udm28345,1.0213052263117137
p13udm28346,1.0210039802549669
p13udm28349,1.0207229933829673
p13udm28350,1.0179341277774685
p13udm28353,1.0209532324540476
p13udm28355,1.0211064138658101
p13udm28356,1.021174743825508
p13udm28357,1.0198476913398877
p13udm28358,1.0182312934529283
p13udm28359,1.018635217872499
p13udm28361,1.0212240455131179
p13udm28362,1.020147216501775
p13udm28363,1.0196887557656131
p13udm28364,1.0177949305720424
p13udm28365,1.0206990329404069
p13udm28367,1.014988347135479
p13udm28369,1.015291609506781
p13udm28371,1.0163388452575206
p13udm28372,1.0156651229163236
p13udm28373,1.0160348684938754
p13udm28374,1.0131720740290011
p13udm28376,1.0161073596703392
p13udm28377,1.0126421830441301
p13udm28378,1.0167043755747394
p13udm28380,1.0156546874857995
p13udm28382,1.0184488228860642
p13udm28383,1.0188503997324836
p13udm28384,1.0178849817184226
p13udm28385,1.0196787740431497
p13udm28387,1.0187858409481532
p13udm28389,1.0197515467578162
p13udm28390,1.0202188890657005
p13udm28392,1.0196553246562816
p13udm28393,1.0198675585035928
p13udm28395,1.0201147969105357
