hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 2940.15, 3.72228, 2971.55, 6.14998, 2923.2, 4.18641
0, 1800.00000, 2919.43, 3.72062, 2841.62, 6.24792, 2877.77, 4.06988
0, 2700.00000, 849.2, 27.798, 1052.92, 28.886, 1069.98, 19.9057
1, 0.00000, 1416.44, 12.0258, 1483.91, 16.1023, 1580.09, 10.8392
1, 900.00000, 3031.12, 3.6395, 3064.6, 5.72662, 3023.71, 4.11923
1, 1800.00000, 3144.6, 4.0157, 3082.08, 6.06739, 3118.21, 4.35933
1, 2700.00000, 3318.85, 4.41669, 3388.37, 6.18093, 3220.59, 4.6195
2, 0.00000, 3377.21, 4.55227, 3385.21, 6.58331, 3297.5, 4.90321
2, 900.00000, 2771.92, 7.96798, 2949.1, 10.5189, 2814.46, 8.05518
2, 1800.00000, 3272.23, 6.96059, 3399.04, 10.7868, 3230.73, 7.04569
2, 2700.00000, 3768.23, 6.3775, 4002.53, 10.4343, 3689.26, 6.64495
3, 0.00000, 3637.69, 6.24009, 3752.29, 10.6039, 3604.09, 6.73942
3, 900.00000, 3617.15, 6.63345, 3771.43, 10.2056, 3593.75, 7.09325
3, 1800.00000, 3552.92, 6.58354, 3631.06, 10.482, 3518.36, 7.07731
3, 2700.00000, 3465.77, 6.76494, 3612.74, 10.131, 3430.73, 7.2493
4, 0.00000, 3170.69, 7.27443, 3269.79, 11.0364, 3212.04, 7.81352
4, 900.00000, 3309.72, 6.98119, 3540.36, 10.5532, 3346.39, 7.44026
4, 1800.00000, 3300.06, 6.78331, 3438.63, 10.5964, 3333.56, 7.10371
4, 2700.00000, 3237.63, 6.66849, 3475.95, 10.2441, 3295.64, 7.08825
5, 0.00000, 3220.34, 6.79451, 3262.95, 9.69324, 3289.27, 7.28198
5, 900.00000, 3325.68, 6.99973, 3482.52, 10.081, 3304.96, 7.20296
5, 1800.00000, 2760.01, 9.46507, 2790.16, 12.895, 2796.33, 9.52881
5, 2700.00000, 2804.99, 9.25637, 3122.31, 13.3067, 2932.5, 9.30154
6, 0.00000, 3594.61, 7.08829, 3607.78, 10.3145, 3572.43, 7.43841
6, 900.00000, 3730.03, 7.09324, 3896.96, 10.3553, 3721.9, 7.61321
6, 1800.00000, 3688.23, 6.71607, 3765.97, 10.456, 3668.65, 7.27576
6, 2700.00000, 3591.51, 6.51267, 3771.49, 10.1402, 3585.21, 6.95766
7, 0.00000, 3313.02, 7.16708, 3406.14, 10.779, 3323.13, 7.5951
7, 900.00000, 3107.04, 6.70029, 3260.97, 10.0773, 3123.59, 7.01488
7, 1800.00000, 3015.69, 5.27695, 3023.26, 8.51652, 2999.68, 5.6328
7, 2700.00000, 2834.73, 4.20301, 2886.17, 6.90341, 2769.15, 4.32338
8, 0.00000, 2726.72, 3.73102, 2723.63, 7.74386, 2653.75, 3.89118
8, 900.00000, 2603.85, 3.22227, 2605.78, 5.7017, 2545.71, 3.44611
8, 1800.00000, 2462.38, 2.74067, 2375.41, 5.56312, 2412.26, 3.0162
8, 2700.00000, 511.031, 124.041, 522.002, 97.2511, 355.231, 84.7281
9, 0.00000, 342.306, 52.457, 511.616, 49.8036, 513.359, 29.7234
9, 900.00000, 2413.18, 2.32624, 2457.17, 4.87429, 2399.28, 2.70545
9, 1800.00000, 2480.78, 2.27353, 2460.77, 5.43846, 2479.93, 2.91564
