hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7379.54, -0.0000166467, 7379.54, -120, 7379.54, 120, 302.471, -14.8801, 293.795, -136.195, 307.106, 102.12
0, 1800.00000, 7379.54, -0.0000163459, 7379.54, -120, 7379.54, 120, 296.559, -14.8293, 276.189, -136.615, 290.045, 101.776
0, 2700.00000, 7379.54, -2.29371E-6, 7379.54, -120, 7379.54, 120, 173.559, -38.0284, 184.769, -156.221, 179.742, 77.6773
1, 0.00000, 7379.54, -7.37801E-6, 7379.54, -120, 7379.54, 120, 214.546, -26.6987, 222.625, -147.106, 223.514, 90.5583
1, 900.00000, 7379.54, -0.0000178715, 7379.54, -120, 7379.54, 120, 314.617, -13.809, 302.42, -135.011, 310.476, 102.23
1, 1800.00000, 7379.54, -0.0000188801, 7379.54, -120, 7379.54, 120, 332.559, -13.8303, 324.017, -134.432, 337.952, 103.842
1, 2700.00000, 7379.54, -0.0000205538, 7379.54, -120, 7379.54, 120, 358.669, -13.5069, 352.759, -134.051, 363.875, 104.033
2, 0.00000, 7379.54, -0.0000210716, 7379.54, -120, 7379.54, 120, 368.139, -13.5492, 359.669, -134.062, 371.469, 103.897
2, 900.00000, 7379.54, -0.0000182119, 7379.54, -120, 7379.54, 120, 360.314, -17.5602, 355.775, -138.428, 354.162, 99.1285
2, 1800.00000, 7379.54, -0.0000212429, 7379.54, -120, 7379.54, 120, 403.172, -16.2951, 390.616, -137.199, 398.54, 100.919
2, 2700.00000, 7379.54, -0.0000257379, 7379.54, -120, 7379.54, 120, 461.856, -14.4755, 438.065, -135.762, 442.392, 102.184
3, 0.00000, 7379.54, -0.0000231284, 7379.54, -120, 7379.54, 120, 421.676, -15.0036, 423.27, -136.138, 415.402, 101.543
3, 900.00000, 7379.54, -0.0000218008, 7379.54, -120, 7379.54, 120, 413.066, -16.243, 409.172, -137.326, 421.554, 100.221
3, 1800.00000, 7379.54, -0.0000210735, 7379.54, -120, 7379.54, 120, 405.176, -16.6983, 412.951, -137.168, 405.291, 99.9153
3, 2700.00000, 7379.54, -0.0000199478, 7379.54, -120, 7379.54, 120, 391.728, -17.3403, 394.95, -138.317, 389.562, 99.6859
4, 0.00000, 7379.54, -0.000017349, 7379.54, -120, 7379.54, 120, 357.726, -18.7569, 363.674, -139.859, 363.062, 98.1292
4, 900.00000, 7379.54, -0.0000184654, 7379.54, -120, 7379.54, 120, 371.687, -18.0684, 363.654, -139.523, 368.512, 98.6705
4, 1800.00000, 7379.54, -0.000017528, 7379.54, -120, 7379.54, 120, 354.88, -18.2357, 346.19, -139.814, 364.275, 98.0535
4, 2700.00000, 7379.54, -0.0000169339, 7379.54, -120, 7379.54, 120, 347.274, -18.602, 340.254, -140.073, 343.52, 97.246
5, 0.00000, 7379.54, -0.0000158344, 7379.54, -120, 7379.54, 120, 332.017, -19.2228, 325.199, -140.58, 341.458, 97.2364
5, 900.00000, 7379.54, -0.0000166019, 7379.54, -120, 7379.54, 120, 341.094, -18.6537, 341.828, -140.193, 361.714, 97.7809
5, 1800.00000, 7379.54, -0.0000132146, 7379.54, -120, 7379.54, 120, 317.595, -22.6974, 320.406, -143.736, 334.26, 93.7175
5, 2700.00000, 7379.54, -0.0000151069, 7379.54, -120, 7379.54, 120, 343.424, -21.3507, 343.151, -142.45, 349.551, 94.9196
6, 0.00000, 7379.54, -0.0000207057, 7379.54, -120, 7379.54, 120, 403.78, -17.1305, 396.27, -138.569, 407.772, 99.4098
6, 900.00000, 7379.54, -0.0000224258, 7379.54, -120, 7379.54, 120, 426.363, -16.3511, 429.947, -137.604, 438.597, 100.273
6, 1800.00000, 7379.54, -0.0000227365, 7379.54, -120, 7379.54, 120, 426.339, -15.9151, 431.93, -136.932, 430.854, 100.548
6, 2700.00000, 7379.54, -0.0000214628, 7379.54, -120, 7379.54, 120, 404.421, -16.0683, 414.668, -137.01, 415.419, 100.505
7, 0.00000, 7379.54, -0.0000198968, 7379.54, -120, 7379.54, 120, 391.799, -17.4224, 398.284, -138.368, 408.292, 98.8053
7, 900.00000, 7379.54, -0.0000183529, 7379.54, -120, 7379.54, 120, 367.222, -17.8937, 372.782, -138.473, 378.429, 98.1926
7, 1800.00000, 7379.54, -0.0000183601, 7379.54, -120, 7379.54, 120, 349.833, -16.4138, 350.221, -137.208, 362.027, 99.6884
7, 2700.00000, 7379.54, -0.0000165979, 7379.54, -120, 7379.54, 120, 314.605, -16.2464, 314.116, -136.994, 315.341, 100.12
8, 0.00000, 7379.54, -0.0000158229, 7379.54, -120, 7379.54, 120, 297.069, -15.9429, 297.076, -136.677, 300.337, 100.188
