hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 1766.1, 12.8528, 1734.88, 11.5813, 1833.75, 12.8007
0, 1800.00000, 1685.76, 14.0106, 1729.75, 11.4544, 1739.22, 13.1165
0, 2700.00000, 1014.11, 75.9301, 937.297, 34.1456, 986.71, 39.4825
1, 0.00000, 1012.45, 39.8176, 1220.47, 22.518, 1168.82, 28.9184
1, 900.00000, 1779.73, 12.6115, 1785.14, 10.7793, 1954.61, 11.8635
1, 1800.00000, 1818.38, 13.1533, 1876.47, 10.6422, 1971.91, 12.2784
1, 2700.00000, 1993.99, 11.7147, 2042.69, 10.6072, 2170.49, 11.94
2, 0.00000, 2016.41, 12.9613, 2116.2, 10.8246, 2154.03, 12.4245
2, 900.00000, 1786.94, 19.9374, 1947.14, 15.6439, 2227.57, 21.1581
2, 1800.00000, 2022.09, 17.7002, 2183.01, 14.2616, 2340.01, 18.5933
2, 2700.00000, 2342.5, 13.68, 2465.61, 12.743, 2757.5, 15.7897
3, 0.00000, 2236.24, 15.1299, 2311.92, 13.2023, 2418.45, 14.205
3, 900.00000, 2205.66, 14.8906, 2280.2, 13.9961, 2431.66, 14.5865
3, 1800.00000, 2256.36, 16.1672, 2218.66, 14.2646, 2206.66, 15.6295
3, 2700.00000, 2227.03, 16.1325, 2145.98, 14.8828, 2180.19, 15.7313
4, 0.00000, 1999.23, 18.5175, 1991.11, 16.0442, 1992.87, 17.6122
4, 900.00000, 2128.13, 16.3588, 2128.68, 14.5657, 2283.3, 22.2853
4, 1800.00000, 2051.8, 17.0514, 2064.95, 14.8039, 2055.71, 18.362
4, 2700.00000, 1956.92, 16.0451, 1972.29, 15.0758, 2072.2, 16.366
5, 0.00000, 1940.98, 17.5264, 1904.99, 15.2581, 1935.96, 17.3087
5, 900.00000, 2026.26, 17.0522, 2010.36, 15.4419, 2027.83, 16.044
5, 1800.00000, 1789.15, 24.7253, 1780.65, 19.0968, 1786.7, 21.7334
5, 2700.00000, 1932.7, 22.0886, 1905.3, 17.9203, 2121.95, 23.8309
6, 0.00000, 2337.63, 17.6828, 2289.09, 14.3919, 2383.59, 21.1966
6, 900.00000, 2488.45, 15.8914, 2426.26, 14.0455, 2454.38, 15.0085
6, 1800.00000, 2505.33, 16.3109, 2434.69, 13.3828, 2439.12, 17.1493
6, 2700.00000, 2431.56, 15.6315, 2345.78, 13.5622, 2404.3, 15.0094
7, 0.00000, 2256.19, 18.2454, 2226.9, 14.832, 2265.2, 19.5483
7, 900.00000, 2043.92, 17.1216, 2079.25, 15.0996, 2176.9, 17.7646
7, 1800.00000, 1991.54, 16.5827, 2011.68, 13.2706, 1945.92, 15.3907
7, 2700.00000, 1915.67, 15.4379, 1816.51, 13.0947, 1866.33, 13.9514
8, 0.00000, 1785.02, 16.3335, 1713.8, 12.1365, 1863.13, 21.1949
8, 900.00000, 1623.87, 13.2811, 1589.34, 11.839, 1674.5, 13.4444
8, 1800.00000, 1498.58, 14.3548, 1512.65, 11.5552, 1558.59, 13.9564
