hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7415.54, -0.0000143937, 7415.54, -120, 7415.54, 120, 237.844, -11.3176, 230.226, -131.868, 224.586, 109.21
0, 1800.00000, 7415.54, -0.0000141463, 7415.54, -120, 7415.54, 120, 237.503, -11.9173, 222.434, -131.848, 214.39, 109.318
0, 2700.00000, 7415.54, -3.84092E-6, 7415.54, -120, 7415.54, 120, 103.132, -24.9672, 102.464, -148.402, 99.4805, 95.9571
1, 0.00000, 7415.54, -7.62424E-6, 7415.54, -120, 7415.54, 120, 141.136, -15.2882, 132.793, -139.965, 134.083, 104.187
1, 900.00000, 7415.54, -0.0000154554, 7415.54, -120, 7415.54, 120, 244.711, -9.63866, 242.843, -130.572, 234.178, 110.436
1, 1800.00000, 7415.54, -0.0000162938, 7415.54, -120, 7415.54, 120, 260.865, -10.0888, 259.781, -130.949, 248.685, 110.431
1, 2700.00000, 7415.54, -0.0000176625, 7415.54, -120, 7415.54, 120, 283.27, -10.1619, 278.46, -130.998, 273.277, 110.175
2, 0.00000, 7415.54, -0.000017907, 7415.54, -120, 7415.54, 120, 291.6, -10.7631, 280.621, -130.867, 274.02, 110.17
2, 900.00000, 7415.54, -0.0000152567, 7415.54, -120, 7415.54, 120, 271.152, -13.9631, 268.919, -134.604, 260.242, 106.724
2, 1800.00000, 7415.54, -0.0000179147, 7415.54, -120, 7415.54, 120, 311.455, -13.1987, 311.504, -133.867, 299.783, 107.111
2, 2700.00000, 7415.54, -0.0000205265, 7415.54, -120, 7415.54, 120, 350.867, -12.5948, 343.935, -133.536, 337.499, 107.528
3, 0.00000, 7415.54, -0.0000189589, 7415.54, -120, 7415.54, 120, 324.838, -12.6778, 323.215, -133.679, 321.242, 107.138
3, 900.00000, 7415.54, -0.0000185482, 7415.54, -120, 7415.54, 120, 328.385, -13.838, 322.548, -135.256, 309.161, 106.039
3, 1800.00000, 7415.54, -0.0000187786, 7415.54, -120, 7415.54, 120, 333.932, -13.9905, 321.241, -135.263, 317.335, 106.32
3, 2700.00000, 7415.54, -0.0000171696, 7415.54, -120, 7415.54, 120, 316.31, -15.1766, 299.707, -135.847, 294.497, 105.731
4, 0.00000, 7415.54, -0.0000150489, 7415.54, -120, 7415.54, 120, 281.102, -15.6218, 276.142, -137.111, 264.424, 104.728
4, 900.00000, 7415.54, -0.000015668, 7415.54, -120, 7415.54, 120, 288.887, -15.2004, 284.103, -136.516, 269.649, 105.035
4, 1800.00000, 7415.54, -0.0000145931, 7415.54, -120, 7415.54, 120, 270.567, -15.379, 268.112, -136.595, 258.472, 104.893
4, 2700.00000, 7415.54, -0.0000141699, 7415.54, -120, 7415.54, 120, 264.531, -15.6006, 259.916, -137.015, 249.926, 104.515
5, 0.00000, 7415.54, -0.0000134437, 7415.54, -120, 7415.54, 120, 252.965, -15.8519, 248.445, -137.183, 241.47, 104.381
5, 900.00000, 7415.54, -0.0000139302, 7415.54, -120, 7415.54, 120, 262.667, -15.9202, 257.998, -137.035, 251.102, 104.504
5, 1800.00000, 7415.54, -0.000011439, 7415.54, -120, 7415.54, 120, 235.958, -18.6139, 236.056, -140.708, 230.693, 101.682
5, 2700.00000, 7415.54, -0.0000137105, 7415.54, -120, 7415.54, 120, 269.123, -17.1668, 260.157, -138.799, 266.518, 103.101
6, 0.00000, 7415.54, -0.00001724, 7415.54, -120, 7415.54, 120, 314.677, -14.8705, 308.769, -136.193, 312.407, 105.141
6, 900.00000, 7415.54, -0.0000190684, 7415.54, -120, 7415.54, 120, 339.537, -14.037, 331.43, -135.393, 338.971, 105.81
