bus,v
p13udm100243,1.012353281307071
p13udm100244,1.0125818075938373
p13udm100255,1.013149054644623
p13udm100256,1.0118933332765847
p13udm100257,1.0127893384901157
p13udm100258,1.0131947730441793
p13udm100264,1.0100525127548798
p13udm100265,1.0105032743538085
p13udm100266,1.012022765245118
p13udm100267,1.0123974590126636
p13udm100268,1.0113692566877788
p13udm100269,1.0118327633534974
p13udm101036,1.0111075334081618
p13udm101038,1.0118000364399689
p13udm101040,1.0118833518258772
p13udm101044,1.0137045777049352
p13udm101045,1.014201092829758
p13udm101081,1.0106925083439966
p13udm102142,1.0047243151759526
p13udm102143,1.005903887820269
p13udm102163,1.0101894450134135
p13udm102164,1.0105619058627229
p13udm102165,1.0074092816020515
p13udm102168,1.0101276896284959
p13udm102170,1.0113512905775832
p13udm102181,1.0103185408742892
p13udm102184,1.0110106903746114
p13udm102186,1.0099827442507068
p13udm102188,1.0109385943891158
p13udm102198,1.0042975657386668
p13udm102199,1.0102694639754466
p13udm102201,1.0083255593121438
p13udm102202,1.006828993044929
p13udm20471,1.008209218215949
p13udm20473,1.0084660015308604
p13udm20475,1.0071838441456755
p13udm20505,1.0103954087265783
p13udm20506,1.010557881399517
p13udm20508,1.0038102295483389
p13udm20509,1.0062221104268743
p13udm20510,1.0110713369029003
p13udm20512,1.0103301500080453
p13udm20523,1.012409266476868
p13udm20524,1.012854404520223
p13udm20525,1.0122940185171008
p13udm20527,1.0115482130866966
p13udm20530,1.0124522779000094
p13udm20532,1.0111100372354014
p13udm20534,1.0095222455064725
p13udm20535,1.0090126738079215
p13udm20536,1.010264704449567
p13udm20537,1.0083726345268607
p13udm20544,1.011475916029644
p13udm20545,1.0117954215376237
p13udm21715,1.0060355416709374
p13udm21716,1.0066541510359135
p13udm21720,1.0052313704833653
p13udm21722,1.0056386887096758
p13udm21723,1.0046595234829274
p13udm21724,1.0034448095730952
p13udm21725,1.0040722756562164
p13udm21733,1.0102436098542085
p13udm27465,1.0111137363669642
p13udm27466,1.0103396056361917
p13udm27470,1.0089700153938033
p13udm27471,1.0098762615639594
p13udm27474,1.0091759290989164
p13udm27475,1.0088316964920891
p13udm27477,1.009856271140603
p13udm27478,1.010274896715584
p13udm27479,1.0105224151500116
p13udm27480,1.0100292315869153
p13udm27486,1.0078853256202764
p13udm27487,1.0112001708936522
p13udm27489,1.0117011336783617
p13udm27490,1.0102587409838466
p13udm27494,1.0082067335054266
p13udm27495,1.0122130412282744
p13udm27496,1.0108651902235506
p13udm27498,1.0115903092850242
p13udm27499,1.0103367860468622
p13udm27500,1.0096722596512366
p13udm27501,1.0120998434757142
p13udm27503,1.0123210512342784
p13udm27508,1.0115668991499143
p13udm27511,1.0125555129867976
p13udm27512,1.0131227323996417
p13udm27513,1.0128375047748066
p13udm27514,1.011803566855975
p13udm27517,1.010623825540391
p13udm27519,1.0106673157086115
p13udm27521,1.0101625166867572
p13udm27523,1.0110313486879199
p13udm27524,1.0085480447584916
p13udm27526,1.0093551059534331
p13udm27527,1.0066514324336557
p13udm27528,1.0087956718104336
p13udm27531,1.009639432761191
p13udm27532,1.0114812431615725
p13udm27534,1.0115906140977247
p13udm27536,1.0112403379740154
p13udm27538,1.0094107870280495
p13udm27542,1.0106618632473068
p13udm27543,1.0105607606328764
p13udm27545,1.0121498141056127
p13udm27546,1.0122725101829295
p13udm27548,1.0123972729088946
p13udm27549,1.013265702825863
p13udm27551,1.010943566028391
p13udm27552,1.008967482895082
p13udm27553,1.0101356443896066
p13udm27555,1.0107426890463582
p13udm27556,1.0076506688965026
p13udm27558,1.007295250276679
p13udm27560,1.0084119700561118
p13udm27561,1.0098579039658317
p13udm27562,1.0106578117389637
p13udm27563,1.0101383871495861
p13udm27565,1.0103698458176709
p13udm27566,1.010140462992645
p13udm27570,1.0103363618807175
p13udm27572,1.0111626063925758
p13udm27573,1.0113573137907166
p13udm27576,1.0101275875290985
p13udm27578,1.0102093065399562
p13udm27580,1.0106802333295453
p13udm27581,1.0090348380948901
p13udm27582,1.010139790686345
p13udm27584,1.0116404249814255
p13udm27585,1.0090445566494672
p13udm27587,1.0122961564107191
p13udm27588,1.010968652090897
p13udm27590,1.0112743738713594
p13udm27591,1.0120044871266085
p13udm27592,1.009645213343107
p13udm27594,1.011204595978033
p13udm27595,1.0116092383022588
p13udm27597,1.0101796001787688
p13udm27599,1.010879415779117
p13udm27603,1.0108905378271706
p13udm27607,1.011121141145284
p13udm27608,1.0111375613497287
p13udm27609,1.0104995369164498
p13udm27610,1.0107095764546477
p13udm27613,1.0106191361775516
p13udm27614,1.0104879291855182
p13udm27615,1.010864642832361
p13udm27616,1.0101873551416993
p13udm27618,1.0108428428837908
p13udm27620,1.0108893356278559
p13udm27622,1.0101328389702013
p13udm27623,1.0097907160187498
p13udm27625,1.0107650089965732
p13udm27629,1.0065086555277185
p13udm27630,1.008074800865126
p13udm27631,1.0086134708247911
p13udm27633,1.0087191006184026
p13udm27635,1.0099965745924058
p13udm27636,1.0093141303582986
p13udm27637,1.0098457612281098
p13udm27640,1.011199818489147
p13udm27642,1.0112201641831873
p13udm27643,1.0082341787306102
p13udm27646,1.0088039555322772
p13udm27648,1.0105159131671027
p13udm27649,1.0096822828324885
p13udm27651,1.01064857758178
p13udm27654,1.0103142172041517
p13udm27655,1.0111477441186132
p13udm27656,1.009850478582563
p13udm27657,1.0092070322324993
p13udm27659,1.0105842062635144
p13udm27663,1.0097122974000534
p13udm27665,1.0094635597189865
p13udm27667,1.0110489995057983
p13udm27669,1.0110722271989607
p13udm27670,1.0089789142798615
p13udm27671,1.009227058282754
p13udm27676,1.0082942070489058
p13udm27677,1.005550087594288
p13udm27678,1.010664380663348
p13udm27680,1.0089589250656494
p13udm27683,1.0113396456206414
p13udm27684,1.0111400914127024
p13udm27687,1.0080062546128112
p13udm27689,1.0074839783076035
p13udm27690,1.0082178051018258
p13udm27694,1.0093102887077205
p13udm27696,1.009436951691176
p13udm27698,1.0100004465988897
p13udm27699,1.009319366869036
p13udm27705,1.0086792867194192
p13udm27709,1.0091528407093473
p13udm27724,1.0114881777893256
p13udm27726,1.008246410366973
p13udm27729,1.0078949736961795
p13udm27732,1.0090597135563903
p13udm27736,1.0097512033229425
p13udm27741,1.0099337182799277
p13udm27767,1.0108714750600203
p13udm27791,1.0091480548692748
p13udm27793,1.0077525576177664
p13udm27794,1.0100117916176843
p13udm27798,1.0078550329483216
p13udm27799,1.008327884249006
p13udm27871,1.0104464616502302
p13udm27872,1.0101878813788407
p13udm27874,1.0102286330217969
p13udm27875,1.0104828393253023
p13udm27876,1.0086068867131648
p13udm27879,1.0089860171774445
p13udm27880,1.0095759366345627
p13udm27882,1.0093619093028185
p13udm28512,1.0117978225896438
p13udm28513,1.0112713012844208
p13udm28514,1.0121840351138691
p13udm28521,1.0103035356299677
p13udm28522,1.010278048307885
p13udm28523,1.0100064512456157
p13udm28525,1.0097799578571873
p13udm28526,1.0091616912082064
p13udm28527,1.0089318604714625
p13udm28528,1.0096509144651864
p13udm28532,1.0125501400538106
p13udm28533,1.0108631303308808
p13udm28535,1.0105260634186517
p13udm28536,1.0119070476806784
p13udm28537,1.0117814007839938
p13udm28539,1.0102923317170078
p13udm28542,1.00551451758255
p13udm28545,1.0077435907583534
p13udm28550,1.0059291054661683
p13udm28551,1.0064302001802035
p13udm28552,1.0066322120138087
p13udm28555,1.0086356510009387
p13udm28556,1.0089118767843004
p13udm28558,1.0091360371364884
p13udm28565,1.007607504483498
p13udm28581,1.012383582918397
p13udm28582,1.0098842622031514
p13udm28583,1.0110554924678592
p13udm28584,1.0110330245893244
p13udm28588,1.0100126707091572
p13udm28589,1.0117245425496368
p13udm28590,1.0119862312335945
p13udm28591,1.0125562706904687
p13udm28594,1.0127919665578649
p13udm28595,1.0121552637765867
p13udm28597,1.0133612468844837
p13udm28598,1.0114757330262263
p13udm28600,1.0125771582462746
p13udm28601,1.012238033455296
p13udm28602,1.0117801309876735
p13udm28603,1.0124484319244362
p13udm28605,1.014759887085709
p13udm28606,1.015786557184097
p13udm28611,1.0038003902313253
p13udm28612,1.0048971238997595
p13udm28613,1.0059001392165168
p13udm28615,1.0125502316259944
p13udm28616,1.0119658231490294
p13udm28617,1.0139556175272217
p13udm28619,1.0097310735393248
p13udm28620,1.0134673781840566
p13udm28624,1.0126399600509863
p13udm28625,1.0133834832706512
p13udm28627,1.0136451164505946
p13udm28629,1.0133232249537445
p13udm28631,1.013143094318234
p13udm28632,1.0133663426942952
p13udm28635,1.0125155227112073
p13udm28636,1.0137305020560772
p13udm28637,1.0112738621519193
p13udm28638,1.0135608759357604
p13udm28640,1.012124953094998
p13udm28642,1.0124966711470629
p13udm28643,1.0118296321602767
p13udm28644,1.0122064725373356
p13udm28645,1.0121617526892752
