bus,v
p13udm100220,1.019952568906569
p13udm100222,1.0191005314187676
p13udm100223,1.0196006686217534
p13udm100224,1.0187971040079458
p13udm100225,1.0197588762649767
p13udm100241,1.0166216468994709
p13udm100248,1.0196343504389889
p13udm100250,1.0189993414226244
p13udm100251,1.0185933590897838
p13udm100260,1.019266992511079
p13udm100261,1.019584093549681
p13udm100263,1.0188313572816206
p13udm100281,1.0185890620399127
p13udm100283,1.0197334246622005
p13udm100287,1.0194500923210619
p13udm100288,1.0165395134428437
p13udm100289,1.0173509658689701
p13udm100290,1.0167721513781527
p13udm100293,1.0181824728451798
p13udm101030,1.0159351494222457
p13udm101031,1.0166589452785382
p13udm101033,1.0163947687744184
p13udm101034,1.015847199644257
p13udm101035,1.0157165394073298
p13udm102233,1.0154411425353844
p13udm102234,1.0156603392827088
p13udm102235,1.015560182078838
p13udm102237,1.0150311278428663
p13udm104745,1.0164363747501475
p13udm104748,1.0152202413070919
p13udm104749,1.0147515802282632
p13udm105332,1.015922073152073
p13udm105333,1.0164084703117586
p13udm105906,1.0163228712371257
p13udm105908,1.017060499329554
p13udm105910,1.0136935945310017
p13udm105911,1.0140462705418525
p13udm105912,1.0151317626896907
p13udm105913,1.0134395714181486
p13udm105914,1.0142012034503607
p13udm105915,1.0149489003687822
p13udm105924,1.0166842639941356
p13udm105929,1.0168732419155395
p13udm105930,1.0163054226789119
p13udm105933,1.0138942652995184
p13udm105934,1.0141324980129889
p13udm105937,1.014885897907667
p13udm105938,1.014376218280982
p13udm105941,1.0153467287208853
p13udm105943,1.0158143750822943
p13udm105950,1.016119202317482
p13udm105951,1.0154969277185824
p13udm106370,1.015416170781232
p13udm106372,1.01532038664674
p13udm106376,1.0150886937091201
p13udm106378,1.01676868604645
p13udm106383,1.015403367037936
p13udm106386,1.0166735698279061
p13udm106394,1.0153429739923263
p13udm106397,1.0156389290031995
p13udm106399,1.0148720254072288
p13udm106400,1.0149842632065074
p13udm30727,1.0185453372529771
p13udm30728,1.0183289341166113
p13udm30731,1.0176813061413945
p13udm30733,1.0180826586850265
p13udm30734,1.0200357508312292
p13udm30737,1.019619761915187
p13udm30738,1.0189387275410062
p13udm30741,1.0191155776949161
p13udm30742,1.0201091904392228
p13udm30743,1.0198105411910992
p13udm30744,1.0200676107609277
p13udm30746,1.0191657129059846
p13udm30748,1.0199538480355377
p13udm30749,1.0200960539015522
p13udm30751,1.0182173300476478
p13udm30753,1.0189515296175302
p13udm30754,1.0177395502560087
p13udm30755,1.0155570595511996
p13udm30756,1.0140800797670124
p13udm30758,1.0187147631172748
p13udm30760,1.017036719188442
p13udm30761,1.017225354450813
p13udm30762,1.0188403452033716
p13udm30764,1.0189123778773344
p13udm30765,1.0185877974003423
p13udm30766,1.019441680021298
p13udm30769,1.0191344011140462
p13udm30770,1.0192327146480555
p13udm30771,1.018568268720394
p13udm30772,1.0179978652930495
p13udm30773,1.0175377286228848
p13udm30774,1.0181068480416833
p13udm30777,1.018483054120384
p13udm30778,1.0189213875956467
p13udm30779,1.0191534039577514
p13udm30782,1.018780954360048
p13udm30784,1.0191775999089963
p13udm30786,1.0210541938644986
p13udm30787,1.0203936701655587
p13udm30791,1.020662609836176
p13udm30792,1.0207829056909805
p13udm30793,1.0207909900627397
p13udm30803,1.0198262270458343
p13udm30804,1.0195345691356774
p13udm30805,1.0201387376903526
p13udm30807,1.0203466556422445
p13udm30808,1.0192166341046525
p13udm30809,1.019540540134515
p13udm30814,1.018648060680314
p13udm30815,1.017381789929349
p13udm30816,1.01717825873393
p13udm30817,1.016574658386606
p13udm30818,1.0164354851409116
p13udm30820,1.0140892568462072
p13udm30821,1.0176561677123335
p13udm30823,1.019271813636739
p13udm30824,1.0185504512300079
p13udm30825,1.019006783548916
p13udm30830,1.0149415283529968
p13udm30831,1.0145147356076603
p13udm30832,1.0148933371489068
p13udm30836,1.0137604516226117
p13udm30839,1.016882076478783
p13udm30840,1.0169787012467264
p13udm30842,1.0154707133513337
p13udm30843,1.015294281314418
p13udm30844,1.0155213906434608
p13udm30845,1.0160986764911728
p13udm30846,1.015958926356833
p13udm30847,1.016876932543529
p13udm30848,1.0170978837402014
p13udm30851,1.0187333142230228
p13udm30852,1.0192147622214076
p13udm30853,1.018822758817999
p13udm30857,1.0179247224942418
p13udm30860,1.017945670271963
p13udm30861,1.0181014027261008
p13udm30862,1.0174957961221223
p13udm30866,1.0157530958174252
p13udm30869,1.015990454266486
